Date,Investigator,CH,[Tubulin] $(\mu M)$,[DCX] $(n M)$,Length $(\mu m)$,Lifetime $(min)$,Growth Rate $(\mu m / min)$,Time to Nucleate $(min)$,Shrink Length $(\mu m)$,Shrink Lifetime $(min)$,Shrink Rate $(\mu m / min)$,Rescues,DCX Type
2020-07-08,Sofia,12,14.0,0.0,25.894000000000002,23.221833333333336,1.115071305021854,0.7964166666666668,26.108,1.1736666666666666,22.244816813405286,False,None
2020-07-08,Sofia,12,14.0,0.0,8.667,6.958166666666667,1.2455867206400153,1.38325,8.667,0.2515,34.461232604373755,False,None
2020-07-08,Sofia,12,14.0,0.0,34.454,29.509333333333334,1.1675628049882518,0.4610833333333334,34.454,2.012,17.124254473161034,False,None
2020-07-08,Sofia,12,14.0,0.0,4.708,4.2755,1.1011577593263946,0.20958333333333332,5.029,0.16766666666666669,29.99403578528827,False,None
2020-07-08,Sofia,12,14.0,0.0,9.523,6.7905,1.4024004123407705,0.7125833333333333,9.844,0.5868333333333333,16.774779892076115,False,None
2020-07-08,Sofia,12,14.0,0.0,12.732999999999999,10.730666666666668,1.1865991550695825,0.62875,12.84,0.503,25.526838966202785,False,None
2020-07-08,Sofia,12,14.0,0.0,14.338,12.407333333333336,1.1556068991456665,0.37725,14.659,0.5868333333333333,24.97983527406987,False,None
2020-07-08,Sofia,12,14.0,0.0,0.963,0.6706666666666667,1.4358846918489063,1.5509166666666667,1.07,0.08383333333333334,12.763419483101393,False,None
2020-07-08,Sofia,12,14.0,0.0,5.778,5.2815,1.094007384265833,0.5449166666666667,5.885,0.16766666666666669,35.09940357852882,False,None
2020-07-08,Sofia,12,14.0,0.0,9.095,8.634833333333335,1.0532918990908915,2.305416666666667,9.63,0.6706666666666667,14.358846918489062,False,None
2020-07-08,Sofia,12,14.0,0.0,2.568,2.515,1.0210735586481112,0.62875,2.461,0.16766666666666669,14.677932405566594,False,None
2020-07-08,Sofia,12,14.0,0.0,3.638,3.9401666666666673,0.9233111966498876,0.9640833333333334,3.852,0.16766666666666669,22.9741550695825,False,None
2020-07-08,Sofia,12,14.0,0.0,1.391,1.1736666666666666,1.1851746662879863,25.94641666666667,1.4980000000000002,0.08383333333333334,17.868787276341948,False,None
2020-07-08,Sofia,12,14.0,0.0,13.375,10.06,1.3295228628230615,1.38325,13.696,0.5868333333333333,23.338824197671123,False,None
2020-07-08,Sofia,12,14.0,0.0,7.49,7.461166666666667,1.0038644537270758,0.9640833333333334,7.917999999999999,0.5868333333333333,13.492757739278614,False,None
2020-07-08,Sofia,12,14.0,0.0,8.346,7.209666666666667,1.1576124647464052,0.7964166666666668,8.988,0.503,17.868787276341948,True,None
2020-07-08,Sofia,12,14.0,0.0,2.247,2.5988333333333333,0.8646187391778362,2.7245833333333334,2.033,0.08383333333333334,24.25049701789264,False,None
2020-07-08,Sofia,12,14.0,0.0,10.485999999999999,9.724666666666668,1.0782888873654624,1.38325,10.485999999999999,0.4191666666666667,25.01630218687873,False,None
2020-07-08,Sofia,12,14.0,0.0,12.305,9.054,1.359067815330241,0.7964166666666668,12.519,0.6706666666666667,18.666500994035786,False,None
2020-07-08,Sofia,12,14.0,0.0,8.346,6.706666666666668,1.2444333996023855,0.7964166666666668,8.56,0.4191666666666667,20.421471172962228,False,None
2020-07-08,Sofia,12,14.0,0.0,6.313,5.700666666666668,1.1074143375043854,1.2994166666666669,6.634,0.2515,26.377733598409538,False,None
2020-07-08,Sofia,12,14.0,0.0,5.457000000000001,5.5329999999999995,0.9862642327851074,1.13175,5.671,0.16766666666666669,33.82306163021869,False,None
2020-07-08,Sofia,12,14.0,0.0,8.774,7.042000000000002,1.2459528543027547,0.7125833333333333,9.095,0.16766666666666669,54.2445328031809,False,None
2020-07-08,Sofia,12,14.0,0.0,0.7490000000000001,0.7545000000000001,0.9927104042412191,0.7125833333333333,0.7490000000000001,,,False,None
2020-07-08,Sofia,12,14.0,0.0,20.865,15.844500000000002,1.3168607403199846,0.7964166666666668,20.865,1.3413333333333337,15.555417495029818,False,None
2020-07-08,Sofia,12,14.0,0.0,11.342,9.137833333333333,1.2412132708337134,0.5449166666666667,11.342,0.503,22.548707753479125,False,None
2020-07-08,Sofia,12,14.0,0.0,4.173,3.018,1.382703777335984,0.62875,4.28,0.16766666666666669,25.526838966202785,False,None
2020-07-08,Sofia,12,14.0,0.0,21.507,14.587,1.4743950092548157,0.5449166666666667,21.721,0.9221666666666668,23.554310500632567,False,None
2020-07-08,Sofia,12,14.0,0.0,7.169,5.7845,1.2393465295185409,0.5449166666666667,7.169,0.4191666666666667,17.102982107355864,False,None
2020-07-08,Sofia,12,14.0,0.0,7.704,7.2935,1.0562829917049428,0.37725,8.025,0.2515,31.908548707753482,False,None
2020-07-08,Sofia,12,14.0,0.0,10.914000000000001,9.8085,1.1127083651934546,0.20958333333333332,11.021,0.503,21.91053677932405,False,None
2020-07-08,Sofia,12,14.0,0.0,6.955,5.616833333333332,1.2382421886590902,0.5449166666666667,7.276,0.2515,28.930417495029825,False,None
2020-07-08,Sofia,12,14.0,0.0,21.186,17.772666666666673,1.1920552158745636,0.7964166666666668,20.544,1.7605000000000002,11.669412098835556,True,None
2020-07-08,Sofia,12,14.0,0.0,4.066,4.527,0.8981665562182459,0.20958333333333332,4.173,0.08383333333333334,49.77733598409542,False,None
2020-07-08,Sofia,12,14.0,0.0,5.671,5.449166666666668,1.0407095886221136,0.5449166666666667,5.671,0.16766666666666669,33.82306163021869,False,None
2020-07-08,Sofia,12,14.0,0.0,17.12,13.664833333333332,1.2528509922062718,2.9760833333333334,17.441,1.2575,13.869582504970177,False,None
2020-07-08,Sofia,12,14.0,0.0,6.206,5.365333333333334,1.1566848906560634,0.8802500000000001,6.206,0.2515,24.675944333996018,False,None
2020-07-08,Sofia,12,14.0,0.0,2.033,2.5988333333333333,0.7822740973513755,0.37725,2.14,0.08383333333333334,25.526838966202785,False,None
2020-07-08,Sofia,12,14.0,0.0,26.108,19.449333333333332,1.342359635291698,0.62875,26.536,1.006,26.377733598409538,False,None
2020-07-08,Sofia,12,14.0,0.0,4.387,3.7725,1.1628893306825712,11.778583333333335,4.601,0.2515,18.294234592445328,False,None
2020-07-08,Sofia,12,14.0,0.0,5.136,5.2815,0.9724510082362964,2.89225,5.136,0.16766666666666669,30.632206759443342,False,None
2020-07-08,Sofia,12,14.0,0.0,19.367,15.844500000000002,1.2223168922970116,2.053916666666667,19.474,1.2575,15.48628230616302,False,None
2020-07-08,Sofia,12,14.0,0.0,6.955,6.203666666666668,1.12111117081296,0.29341666666666666,6.7410000000000005,0.2515,26.80318091451292,False,None
2020-07-08,Sofia,12,14.0,0.0,9.844,8.467166666666667,1.1626085073716117,0.62875,9.844,0.4191666666666667,23.48469184890656,False,None
2020-07-08,Sofia,12,14.0,0.0,2.354,1.9281666666666668,1.220848820122742,1.2994166666666669,2.247,0.08383333333333334,26.80318091451292,False,None
2020-07-08,Sofia,12,14.0,0.0,2.14,1.8443333333333336,1.1603108621001264,20.078083333333336,2.247,0.2515,8.934393638170974,False,None
2020-07-08,Sofia,12,14.0,0.0,15.300999999999998,11.401333333333335,1.3420360191790437,0.9640833333333334,15.515,0.6706666666666667,23.13369781312127,False,None
2020-07-08,Sofia,12,14.0,0.0,1.07,1.0898333333333334,0.981801498700107,0.8802500000000001,1.177,0.08383333333333334,14.039761431411526,False,None
2020-07-08,Sofia,12,14.0,0.0,10.272,8.2995,1.2376649195734684,0.7964166666666668,10.593,0.33533333333333337,31.589463220675945,False,None
2020-07-08,Sofia,12,14.0,0.0,7.062,5.7845,1.220848820122742,0.9640833333333334,7.169,0.2515,28.50497017892644,False,None
2020-07-08,Sofia,12,14.0,0.0,1.07,0.8383333333333334,1.2763419483101393,1.5509166666666667,0.963,0.08383333333333334,11.48707753479125,False,None
2020-07-08,Sofia,12,14.0,0.0,1.177,1.006,1.1699801192842942,1.2155833333333337,1.177,0.16766666666666669,7.0198807157057646,False,None
2020-07-08,Sofia,12,14.0,0.0,2.14,1.9281666666666668,1.1098625637479471,0.62875,2.14,0.08383333333333334,25.526838966202785,False,None
2020-07-08,Sofia,12,14.0,0.0,11.984000000000002,8.383333333333333,1.429502982107356,0.7125833333333333,12.198,0.33533333333333337,36.37574552683896,False,None
2020-07-08,Sofia,12,14.0,0.0,15.194,13.581,1.1187688682718504,0.5449166666666667,15.408,0.7545000000000001,20.421471172962228,False,None
2020-07-08,Sofia,21,10.0,0.0,11.342,12.072,0.9395294897282968,0.7230624999999999,11.663,0.6706666666666667,17.390159045725643,False,None
